,CASH_FLOW_INFLECTION_CONTINUATION,HIGH_CONVICTION_FILING_DRIFT_V2,HEDGED_RESIDUAL_MOMENTUM_V3,POST_FILING_MARGIN_ACCELERATION,POST_FILING_CASH_FLOW_SURPRISE,DEBT_REDUCTION_EVENT_DRIFT,FCF_INFLECTION_QUALITY,PROFITABILITY_TURNAROUND_MATCHED_CONTROL,C3A1_002,C3A1_003,C3A1_013,C3A2_008,C3A1_001,C3A1_015,FUNDAMENTAL_MOMENTUM,EARNINGS_QUALITY,MARGIN_IMPROVEMENT,OVERNIGHT_INTRADAY_ENSEMBLE,FILING_SHOCK_CONTINUATION,FUNDAMENTAL_SHOCK_RECOVERY,CASH_FLOW_GROWTH_QUALITY,OVERNIGHT_GAP_REVERSAL_REDUCED_TURNOVER,LIQUIDITY_ADJUSTED_MOMENTUM
CASH_FLOW_INFLECTION_CONTINUATION,1.0,0.20856003780103421,0.05206072706057346,0.06771077484296721,0.5530797244049491,0.1153191893191823,0.20370311103129984,-0.0021869968412507497,0.014862881154746372,-0.02784084949208663,-0.23008296673172787,0.016829992750202544,0.08397543530324392,-0.04698208615028717,0.14187183609747755,0.02815433966265876,-0.012512900726904462,0.19063824947729838,0.13036841290656964,-0.020700686273780425,0.004936868739501962,0.15338907152498515,-0.020990469592992014
HIGH_CONVICTION_FILING_DRIFT_V2,0.20856003780103421,1.0,0.06937924024628686,0.018004196289109452,0.16398100276233749,0.04108323668415086,0.1714101531367393,-0.03358629502952149,0.10945151862931388,0.16151311571945934,0.06063132306100565,0.1388886942768103,0.12930867743382302,0.13739696893890282,0.1176184900532092,0.0764712532387059,-0.029639419728206207,0.19240018247302218,0.10627862476793251,0.008918419977167304,0.05277119552195156,0.12430216759146255,0.1807121309663363
HEDGED_RESIDUAL_MOMENTUM_V3,0.05206072706057346,0.06937924024628686,1.0,0.07171603011752675,0.03813961406462249,0.02123564270327446,-0.032894839053310795,-0.12676426213462316,0.03909817277525366,0.025238150642277028,0.0004180339340577327,0.02226378730155504,0.10696897977735535,0.07690895141864411,0.1541839633061617,0.04311744448115989,0.013070958391685816,0.06537962145200112,0.13369219422780143,0.013131433883154985,0.0393923614624713,0.13941691895275565,0.03214661973494163
POST_FILING_MARGIN_ACCELERATION,0.06771077484296721,0.018004196289109452,0.07171603011752675,1.0,0.04536612482713825,0.0034008347174763545,0.12411697485625452,-0.009398657677576756,0.09196171027750084,0.10390362373004872,-0.07339674983916657,0.1251072966989374,0.12240687114797397,0.12406076882953905,0.09468844743356902,0.0692005638290569,-0.01873627531241556,0.1134247877389925,0.07660225179947651,-0.007346189842115099,-0.01714974134901548,0.07392402353902851,0.11569936200942937
POST_FILING_CASH_FLOW_SURPRISE,0.5530797244049491,0.16398100276233749,0.03813961406462249,0.04536612482713825,1.0,0.09716484523609012,0.15326401237634626,-0.041319878103731215,0.03705782870513545,-0.0037072224042681836,-0.1259506743472886,0.04608939988457789,0.07686220903434712,-0.0018232027372927224,0.12270393315226566,0.02541478181713196,-0.023230261693889507,0.12591866131255636,0.10343124998303838,-0.003434584437077845,0.0023647333752614117,0.06467801286152494,0.005196969995320904
DEBT_REDUCTION_EVENT_DRIFT,0.1153191893191823,0.04108323668415086,0.02123564270327446,0.0034008347174763545,0.09716484523609012,1.0,0.10115730151101973,0.07415485729473363,-0.05551262331754787,-0.05203741965112948,-0.07446335527634908,-0.07194681701015712,-0.047116893997998455,-0.06691523924493735,0.08069934955402049,0.06411523594577172,0.04384100739838458,0.16355109223604677,0.06275842470031856,0.04360829157734175,0.04137836765353296,0.14713657994550497,-0.07727694590611785
FCF_INFLECTION_QUALITY,0.20370311103129984,0.1714101531367393,-0.032894839053310795,0.12411697485625452,0.15326401237634626,0.10115730151101973,1.0,0.044230409666362276,0.014712989282044118,0.019682221862144734,-0.17001553724180746,0.008698023553377027,0.0528082914559578,-0.007506056901621318,0.10285929530466768,0.08004504552350938,0.016202270209830085,0.18575317810682368,0.08395480615515519,-0.03318228355487179,0.015380638521712836,0.14939251625236039,0.03470614098403956
PROFITABILITY_TURNAROUND_MATCHED_CONTROL,-0.0021869968412507497,-0.03358629502952149,-0.12676426213462316,-0.009398657677576756,-0.041319878103731215,0.07415485729473363,0.044230409666362276,1.0,-0.16189733340488735,-0.1432353504782089,-0.15721587947658797,-0.17607415705957985,-0.18521069983186667,-0.1942981911900813,-0.14487307650813044,-0.13852860023006733,0.06807269226146888,-0.12218071469904795,-0.15872862064231708,-0.027686915402650145,-0.09745327949592496,-0.09055371605668637,-0.21202498515389803
C3A1_002,0.014862881154746372,0.10945151862931388,0.03909817277525366,0.09196171027750084,0.03705782870513545,-0.05551262331754787,0.014712989282044118,-0.16189733340488735,1.0,0.7452832069386333,0.2507553522793326,0.8649238894092658,0.7806948274873096,0.6816759986663568,0.08527973673943791,0.09418130209937021,-0.052004261076311384,0.11281658185535236,0.17711061292078284,0.07014994240099064,0.06008638952062933,0.08239214199996939,0.6827922619338543
C3A1_003,-0.02784084949208663,0.16151311571945934,0.025238150642277028,0.10390362373004872,-0.0037072224042681836,-0.05203741965112948,0.019682221862144734,-0.1432353504782089,0.7452832069386333,1.0,0.21315073787751934,0.8143195541803954,0.6863031147651768,0.8223810040325341,0.08876352018322209,0.08776525507989832,-0.03129683982374166,0.101077812493021,0.14945861828469892,0.07029916942751524,0.06889569857892135,0.08927772196354929,0.7798224587157294
