,BETA_NEUTRAL_RESIDUAL_MOMENTUM,BETA_NEUTRAL_SHORT_TERM_REVERSAL,LOW_VOLATILITY_TREND_CARRY,VOLUME_CONFIRMED_GAP_CONTINUATION,CASH_RETURN_ON_ASSETS,FREE_CASH_FLOW_PROFITABILITY,GROSS_MARGIN_STABILITY,DEBT_PAYDOWN_PROFITABILITY,WORKING_CAPITAL_DISCIPLINE,QUALITY_FILTERED_FILING_DRIFT,NEGATIVE_FILING_SHOCK_REVERSAL,BALANCED_FUNDAMENTAL_MULTIFACTOR,C3A1_002,C3A1_003,C3A1_013,C3A2_008,C3A1_001,C3A1_015,FUNDAMENTAL_MOMENTUM,EARNINGS_QUALITY,MARGIN_IMPROVEMENT,OVERNIGHT_INTRADAY_ENSEMBLE,FILING_SHOCK_CONTINUATION,FUNDAMENTAL_SHOCK_RECOVERY,CASH_FLOW_GROWTH_QUALITY,OVERNIGHT_GAP_REVERSAL_REDUCED_TURNOVER,LIQUIDITY_ADJUSTED_MOMENTUM
BETA_NEUTRAL_RESIDUAL_MOMENTUM,1.0,-0.14741700494604684,0.012784600364807231,0.1274549764236869,0.2965964387118994,0.31148153338578116,0.06777420303994122,0.35324278100297557,0.02592904852914268,0.19792417450380642,0.28904835646015486,0.12289136336729505,0.6698573356254375,0.6748088710827953,0.162361336853909,0.6662662770845663,0.6653973922099163,0.6811696096625256,0.19958539716151144,0.14825465738209292,-0.061301610892754786,0.17189872397622832,0.2601536517112897,0.051299524671586334,0.13918847862890268,0.2058304009446535,0.831098022721701
BETA_NEUTRAL_SHORT_TERM_REVERSAL,-0.14741700494604684,1.0,-0.1586725869534902,0.004409844318410151,-0.08899189657505098,-0.02838770142296857,-0.03547277183206949,-0.10869365374883524,0.013204397186237057,-0.032510277508934496,-0.28947972850024767,0.00370416506205574,-0.1256096075570145,-0.15864795853601463,-0.1596801029655563,-0.15440237321501604,-0.11732085629579483,-0.23238947808344348,0.02812923896968274,-0.018758613285916013,0.06474012866813776,0.07440701245793578,-0.03450559794252868,-0.0022862318003302245,-0.030036932130176632,0.08509699667455359,-0.22328974550757785
LOW_VOLATILITY_TREND_CARRY,0.012784600364807231,-0.1586725869534902,1.0,0.05072105269623623,0.26474751166261223,0.13960510139834012,0.13900613932582603,0.17235567835800605,-0.09108636604204633,0.03747915389274188,0.28270235087805806,-0.14355736975522815,0.10615903084799391,0.08350285635307166,0.5498081093557571,0.10342202271956816,-0.029112614733233372,0.18496312805117363,-0.20426173641466058,-0.09380722588933398,-0.15210517410825444,-0.24240893338593003,-0.1454403494172595,-0.0026726009077503205,-0.10717275449887628,-0.30195916052217325,0.1253834861541612
VOLUME_CONFIRMED_GAP_CONTINUATION,0.1274549764236869,0.004409844318410151,0.05072105269623623,1.0,0.17455418317919186,0.20616633426135558,0.135433099334368,0.19713942476514673,-0.05086369244209748,0.13953931630569297,0.014865844153281387,0.09199765120318593,0.13324931421897263,0.07499238396722568,0.08011223697729968,0.1327590519831053,0.138607637752646,0.05617874026693268,-0.0023689907421964294,0.08858427335576301,-0.16642971576595014,0.16809858724973176,0.09151794311079087,0.0405001995223444,-0.04355696708223609,0.10221634642762362,0.112805728704873
CASH_RETURN_ON_ASSETS,0.2965964387118994,-0.08899189657505098,0.26474751166261223,0.17455418317919186,1.0,0.7245236785269971,0.21975097871981647,0.6272992145462418,-0.08403261691513526,0.292545167892316,0.03968465975904326,0.5123533513176803,0.26700097459677186,0.21603395472415243,0.28703285623781666,0.2578621490028643,0.243588139840537,0.24650780847498233,0.17078272709400377,0.33768545257240434,-0.11134995217808842,0.20635479450672692,0.17956745879398645,0.025112633575320047,0.20631174086557097,0.08383477995519904,0.30713219450167517
FREE_CASH_FLOW_PROFITABILITY,0.31148153338578116,-0.02838770142296857,0.13960510139834012,0.20616633426135558,0.7245236785269971,1.0,0.23646977614593004,0.6212032120827283,-0.1190417714879075,0.3858072005333106,0.024318202265234286,0.5722019833157773,0.22461614776491126,0.1814852174733335,0.15850077089417414,0.2158670544548787,0.2367193403352594,0.22737151339697065,0.2807424988046559,0.39606634959589804,-0.07628274309616193,0.36282871716385123,0.24852290020809195,0.02392512195930657,0.25557722338436495,0.176953517187333,0.25734286226746905
GROSS_MARGIN_STABILITY,0.06777420303994122,-0.03547277183206949,0.13900613932582603,0.135433099334368,0.21975097871981647,0.23646977614593004,1.0,0.19714098607015312,-0.09468848156011873,0.05689421753675228,0.020957776890112,0.09802709799718454,0.021490676096734773,0.050024314997535096,0.15504767859264268,0.03967503321065924,0.012035650645333107,0.05692994949840904,0.08481378814249953,0.1500824149563203,-0.05374467763160581,0.1375148793882245,0.06768118370865725,-0.042141348567100716,0.08682590717069695,0.017473139840742568,0.09508766347130872
DEBT_PAYDOWN_PROFITABILITY,0.35324278100297557,-0.10869365374883524,0.17235567835800605,0.19713942476514673,0.6272992145462418,0.6212032120827283,0.19714098607015312,1.0,-0.05781107496717596,0.23403835411337162,0.12330744234073673,0.3365926844811671,0.2820515287488012,0.24725863587551994,0.1834405256382462,0.29742986705017915,0.28442021302384496,0.30409924752550643,0.1877209557366509,0.2362108285954048,-0.12592151119061007,0.20212004785348234,0.19596253246500628,0.03247144772222999,0.17540389842192852,0.13032325796454333,0.30868279500114143
WORKING_CAPITAL_DISCIPLINE,0.02592904852914268,0.013204397186237057,-0.09108636604204633,-0.05086369244209748,-0.08403261691513526,-0.1190417714879075,-0.09468848156011873,-0.05781107496717596,1.0,0.0404660409019785,0.010569766826975663,-0.09905123072815424,0.07746846519748563,0.04790511475704867,-0.07170700175530613,0.06615039000411413,0.06619006990578367,0.0066382955357717046,0.09649948083125037,-0.09613896066283853,-0.0029116101406406747,-0.09579608398771634,0.1854209480774492,0.00679273511526255,0.0034001216042071256,-0.0675017794180884,0.01864589319171777
QUALITY_FILTERED_FILING_DRIFT,0.19792417450380642,-0.032510277508934496,0.03747915389274188,0.13953931630569297,0.292545167892316,0.3858072005333106,0.05689421753675228,0.23403835411337162,0.0404660409019785,1.0,0.03960049852891227,0.32652351751098424,0.14510964765307108,0.11057409806480852,0.05466844004174585,0.13517271008308865,0.12829002587713195,0.12171409185661042,0.2304885528896064,0.36398894867279796,0.08429182352671076,0.17663381063989816,0.2555201370228416,0.09333826935952508,0.2732217933536756,0.0318518845391827,0.10727894483831175
