,OVERNIGHT_INTRADAY_ENSEMBLE,FILING_SHOCK_CONTINUATION,FUNDAMENTAL_SHOCK_RECOVERY,CROSS_SECTIONAL_DISPERSION_REVERSAL,LIQUIDITY_SHOCK_RECOVERY,VOLATILITY_SCALED_TREND,DOWNSIDE_RESILIENT_MOMENTUM,REVENUE_ACCELERATION_QUALITY,CASH_FLOW_GROWTH_QUALITY,OPERATING_EFFICIENCY_IMPROVEMENT,C3A1_002,C3A1_003,C3A1_013,C3A2_008,C3A1_001,C3A1_015,FUNDAMENTAL_MOMENTUM,EARNINGS_QUALITY,MARGIN_IMPROVEMENT
OVERNIGHT_INTRADAY_ENSEMBLE,1.0,0.2851083705239888,0.031140350418503895,0.2006932238678858,0.22161423498096114,0.20778628718756895,-0.06993487779655397,0.26773213485886427,0.23923723895378515,0.267873054612389,0.11281475346130328,0.10107742630984896,-0.16410219485551059,0.11022101725418819,0.13533667686197282,0.023035446853922417,0.3247245192204317,0.3356089931473194,0.05798394600060029
FILING_SHOCK_CONTINUATION,0.2851083705239888,1.0,0.12055529098771113,0.1460651404137439,0.09143651590412259,0.15606654661866662,0.06393591157693866,0.4045532179221228,0.552607508101387,0.7195737624358296,0.17711171209199258,0.1494595554144539,-0.023256693117443862,0.17913400999845622,0.18420455219666212,0.13597784494939166,0.7800375682633643,0.2444142762344973,0.4305968339169701
FUNDAMENTAL_SHOCK_RECOVERY,0.031140350418503895,0.12055529098771113,1.0,0.041493526362538814,-0.042755322982626624,0.0111349411742281,0.02934743806171526,0.07819875645132211,0.09427461662982908,0.08577283460117453,0.07014806899634753,0.07029779837972373,-0.020324659306144723,0.07191483799177731,0.062258813796794765,0.0683481970982814,0.06915798029808701,0.053988570063698005,0.10217911339102985
CROSS_SECTIONAL_DISPERSION_REVERSAL,0.2006932238678858,0.1460651404137439,0.041493526362538814,1.0,0.00874498006847514,-0.16671740780166977,-0.09366258905495167,0.16870812396142268,0.06056461231304921,0.14255428201939555,0.01853139486294091,-0.10582518329518714,0.0016520985530848078,-0.006608085039680399,-0.04984923722864348,-0.1622997383400742,0.12285880228537478,-0.049238209179094196,0.06311440141687878
LIQUIDITY_SHOCK_RECOVERY,0.22161423498096114,0.09143651590412259,-0.042755322982626624,0.00874498006847514,1.0,-0.1713915506128843,-0.5105377728977749,-0.09775380308539802,0.19354103005857695,0.05083525074989082,-0.24726652792994216,-0.23529518876808656,-0.245463616350501,-0.26422377103555317,-0.20638759926830622,-0.2928562851923063,0.1914962247655936,0.16390491288833295,0.2561726530224269
VOLATILITY_SCALED_TREND,0.20778628718756895,0.15606654661866662,0.0111349411742281,-0.16671740780166977,-0.1713915506128843,1.0,0.7098165261512649,0.1482221856066819,0.12427472469285093,0.1150869173386998,0.5635692170653397,0.6326471820827605,0.12030330619421976,0.5899244827548487,0.5193609607606231,0.5998902398513601,0.10155110339975791,0.11823217668053441,-0.07451211370919897
DOWNSIDE_RESILIENT_MOMENTUM,-0.06993487779655397,0.06393591157693866,0.02934743806171526,-0.09366258905495167,-0.5105377728977749,0.7098165261512649,1.0,0.18772982239068453,-0.006217807695834117,0.06758672777958487,0.5613122382917699,0.5409729600616395,0.35331986851714486,0.5737121478963579,0.48596983840784025,0.5878127444100353,-0.0509685461766372,-0.03268914653636781,-0.19018598345649526
REVENUE_ACCELERATION_QUALITY,0.26773213485886427,0.4045532179221228,0.07819875645132211,0.16870812396142268,-0.09775380308539802,0.1482221856066819,0.18772982239068453,1.0,0.22773773099551622,0.36469061393770164,0.20362902497262153,0.14186110986240602,0.06298982195072483,0.18009151461050849,0.21189616533576935,0.16995028167467338,0.36840971466638245,0.32287799521664445,0.026326995053763447
CASH_FLOW_GROWTH_QUALITY,0.23923723895378515,0.552607508101387,0.09427461662982908,0.06056461231304921,0.19354103005857695,0.12427472469285093,-0.006217807695834117,0.22773773099551622,1.0,0.48806798024470005,0.06008701680255555,0.06889663323268541,-0.030705830537148544,0.07465767335037561,0.05599966967708989,0.04885284157729581,0.5510839159761298,0.49520907462402647,0.5163648683095834
OPERATING_EFFICIENCY_IMPROVEMENT,0.267873054612389,0.7195737624358296,0.08577283460117453,0.14255428201939555,0.05083525074989082,0.1150869173386998,0.06758672777958487,0.36469061393770164,0.48806798024470005,1.0,0.1364159910505201,0.12573269639414708,-0.029645092293042307,0.1517509601024126,0.15874780018852674,0.11970034887171617,0.8466767093595541,0.16889053687862757,0.4456407207166634
C3A1_002,0.11281475346130328,0.17711171209199258,0.07014806899634753,0.01853139486294091,-0.24726652792994216,0.5635692170653397,0.5613122382917699,0.20362902497262153,0.06008701680255555,0.1364159910505201,1.0,0.7452176184729175,0.25070550427492616,0.8648346101602753,0.7808351712985868,0.681709186175229,0.08527973673943791,0.09418130209937021,-0.052004261076311384
C3A1_003,0.10107742630984896,0.1494595554144539,0.07029779837972373,-0.10582518329518714,-0.23529518876808656,0.6326471820827605,0.5409729600616395,0.14186110986240602,0.06889663323268541,0.12573269639414708,0.7452176184729175,1.0,0.2130955367189432,0.8142789075353466,0.6863113949168326,0.822376560907887,0.08876352018322209,0.08776525507989832,-0.03129683982374166
C3A1_013,-0.16410219485551059,-0.023256693117443862,-0.020324659306144723,0.0016520985530848078,-0.245463616350501,0.12030330619421976,0.35331986851714486,0.06298982195072483,-0.030705830537148544,-0.029645092293042307,0.25070550427492616,0.2130955367189432,1.0,0.2438413823587827,-0.01739349990022727,0.24558387937841403,-0.09297695721124007,-0.024540185554607387,-0.09628847693548732
C3A2_008,0.11022101725418819,0.17913400999845622,0.07191483799177731,-0.006608085039680399,-0.26422377103555317,0.5899244827548487,0.5737121478963579,0.18009151461050849,0.07465767335037561,0.1517509601024126,0.8648346101602753,0.8142789075353466,0.2438413823587827,1.0,0.7483185990975043,0.7429659403638441,0.10595291736707502,0.0906766243008025,-0.04737034777924128
C3A1_001,0.13533667686197282,0.18420455219666212,0.062258813796794765,-0.04984923722864348,-0.20638759926830622,0.5193609607606231,0.48596983840784025,0.21189616533576935,0.05599966967708989,0.15874780018852674,0.7808351712985868,0.6863113949168326,-0.01739349990022727,0.7483185990975043,1.0,0.6522693843717937,0.12713743623087717,0.09471155302296129,-0.08695060757356415
C3A1_015,0.023035446853922417,0.13597784494939166,0.0683481970982814,-0.1622997383400742,-0.2928562851923063,0.5998902398513601,0.5878127444100353,0.16995028167467338,0.04885284157729581,0.11970034887171617,0.681709186175229,0.822376560907887,0.24558387937841403,0.7429659403638441,0.6522693843717937,1.0,0.08907457865572292,0.06229617249304239,-0.06297612657764728
FUNDAMENTAL_MOMENTUM,0.3247245192204317,0.7800375682633643,0.06915798029808701,0.12285880228537478,0.1914962247655936,0.10155110339975791,-0.0509685461766372,0.36840971466638245,0.5510839159761298,0.8466767093595541,0.08527973673943791,0.08876352018322209,-0.09297695721124007,0.10595291736707502,0.12713743623087717,0.08907457865572292,1.0,0.2885096212423657,0.5010222605889584
EARNINGS_QUALITY,0.3356089931473194,0.2444142762344973,0.053988570063698005,-0.049238209179094196,0.16390491288833295,0.11823217668053441,-0.03268914653636781,0.32287799521664445,0.49520907462402647,0.16889053687862757,0.09418130209937021,0.08776525507989832,-0.024540185554607387,0.0906766243008025,0.09471155302296129,0.06229617249304239,0.2885096212423657,1.0,0.11574204678848354
MARGIN_IMPROVEMENT,0.05798394600060029,0.4305968339169701,0.10217911339102985,0.06311440141687878,0.2561726530224269,-0.07451211370919897,-0.19018598345649526,0.026326995053763447,0.5163648683095834,0.4456407207166634,-0.052004261076311384,-0.03129683982374166,-0.09628847693548732,-0.04737034777924128,-0.08695060757356415,-0.06297612657764728,0.5010222605889584,0.11574204678848354,1.0
