,FUNDAMENTAL_MOMENTUM,CAPEX_EFFICIENCY,EARNINGS_QUALITY,PROFITABLE_SMALL_CAP,CONSERVATIVE_ASSET_GROWTH,CASH_FLOW_YIELD,MARGIN_IMPROVEMENT,C2A2_020,C3A1_002,C3A1_003,C3A1_006,C3A1_012,C3A1_013,C3A2_008,C3A2_009,C3A1_001,C3A1_004,C3A1_005,C3A1_015,C2A2_004
FUNDAMENTAL_MOMENTUM,1.0,0.5657480712579881,0.28850837826569753,0.5356278895175786,-0.3671267635037184,0.0007674127983656374,0.5010241671164755,-0.21035109325580087,0.0852791539064484,0.08876355067228534,-0.09970267050861,-0.21357998493755265,-0.09297783012275607,0.10595344088718817,0.12075173858143577,0.12713668006266335,0.09946178446504746,0.05505919885561948,0.0890738305579994,0.2612812969957149
CAPEX_EFFICIENCY,0.5657480712579881,1.0,0.17650435062702363,0.39363207672403694,0.07613012907267462,0.2001610473862054,0.12010910001815252,0.054426537367306876,0.15289268275715417,0.12715639178273072,0.07357373183796788,-0.07960278949140405,0.03990081144421424,0.13440093712630732,0.0810959234525108,0.18369447376734072,0.162699912250824,0.1363824265889624,0.13758232035663812,0.09088960842403175
EARNINGS_QUALITY,0.28850837826569753,0.17650435062702363,1.0,0.31676404068795283,-0.30867637838892653,0.3256020871461978,0.1157416968103384,-0.09618492717628425,0.0941836065304509,0.08776803047080384,-0.04512426416269329,-0.14185085654432367,-0.024540059101258654,0.09067897201227021,0.12307341672129657,0.09471282199393083,0.0985889319815145,0.03987454332124054,0.06229749138570779,0.22697946222982418
PROFITABLE_SMALL_CAP,0.5356278895175786,0.39363207672403694,0.31676404068795283,1.0,-0.4576080186126142,0.2196804534191243,0.022513202367320278,-0.27223909585617945,-0.03800930642553504,-0.05951235749451231,-0.2088462555137814,-0.25836491233666725,-0.18710197995689065,-0.03143883420589494,0.06805231752682955,0.03789786831889052,-0.04859078000298716,-0.11272500502517553,-0.07086785858352143,0.3401013463456719
CONSERVATIVE_ASSET_GROWTH,-0.3671267635037184,0.07613012907267462,-0.30867637838892653,-0.4576080186126142,1.0,0.04558181662138399,-0.13986006143076565,0.36119155283726617,-0.07336229144605627,-0.056023963421062854,0.19073735585309526,0.31765908328209,0.23461514374000772,-0.09567890292525043,-0.06636904884421098,-0.14759659966694025,-0.06583424937985817,0.011774593804569225,-0.052043842898649356,-0.4244392523201503
CASH_FLOW_YIELD,0.0007674127983656374,0.2001610473862054,0.3256020871461978,0.2196804534191243,0.04558181662138399,1.0,-0.1515460539806035,0.1311744051911241,0.02064332145581416,0.004879272672136884,0.08355351297561572,0.05810744156500572,0.09383223417000595,-0.0097677988818168,0.08898918051023692,0.008125076285701187,0.043334514741088674,-0.013221401788550134,-0.02313615145100711,0.02055136705986152
MARGIN_IMPROVEMENT,0.5010241671164755,0.12010910001815252,0.1157416968103384,0.022513202367320278,-0.13986006143076565,-0.1515460539806035,1.0,-0.19214456786950368,-0.05200403189377946,-0.031296524932930905,-0.17296378370278112,-0.0781529167192522,-0.09628664328803085,-0.047370794010218584,0.01266691239605108,-0.08694976007897391,-0.05475527831003405,-0.08004564693641655,-0.06297498285836634,0.06612408680689867
C2A2_020,-0.21035109325580087,0.054426537367306876,-0.09618492717628425,-0.27223909585617945,0.36119155283726617,0.1311744051911241,-0.19214456786950368,1.0,0.22183628753511986,0.21917099029666043,0.7622102335676428,0.721410955888966,0.7621832033508191,0.22589446091950321,0.3113236323469653,0.018042853517999984,0.3052071237078242,0.414961768475863,0.27893651916992424,-0.5422394961657446
C3A1_002,0.0852791539064484,0.15289268275715417,0.0941836065304509,-0.03800930642553504,-0.07336229144605627,0.02064332145581416,-0.05200403189377946,0.22183628753511986,1.0,0.7452176184729175,0.5267144727994159,0.04159455576223519,0.25070550427492616,0.8648346101602753,0.2659832749386588,0.7808351712985868,0.9055453584416956,0.6674976288044404,0.681709186175229,0.04713097332616771
C3A1_003,0.08876355067228534,0.12715639178273072,0.08776803047080384,-0.05951235749451231,-0.056023963421062854,0.004879272672136884,-0.031296524932930905,0.21917099029666043,0.7452176184729175,1.0,0.5095028199394437,0.04952062972272725,0.2130955367189432,0.8142789075353466,0.22372026402154005,0.6863113949168326,0.7353028624563764,0.8162748112974859,0.822376560907887,0.0636698466475085
C3A1_006,-0.09970267050861,0.07357373183796788,-0.04512426416269329,-0.2088462555137814,0.19073735585309526,0.08355351297561572,-0.17296378370278112,0.7622102335676428,0.5267144727994159,0.5095028199394437,1.0,0.5294938869630019,0.6699517380725858,0.5464263119638867,0.3132799307509306,0.32135543924901877,0.6343872463688397,0.691576696675909,0.5967504281358149,-0.3284044774566165
C3A1_012,-0.21357998493755265,-0.07960278949140405,-0.14185085654432367,-0.25836491233666725,0.31765908328209,0.05810744156500572,-0.0781529167192522,0.721410955888966,0.04159455576223519,0.04952062972272725,0.5294938869630019,1.0,0.7313373177906727,0.06897502728780441,0.40628020866200243,-0.1879501538194315,0.0757758374171352,0.17260628696687177,0.040215734858381265,-0.5061777274725464
C3A1_013,-0.09297783012275607,0.03990081144421424,-0.024540059101258654,-0.18710197995689065,0.23461514374000772,0.09383223417000595,-0.09628664328803085,0.7621832033508191,0.25070550427492616,0.2130955367189432,0.6699517380725858,0.7313373177906727,1.0,0.2438413823587827,0.6722611512466459,-0.01739349990022727,0.32348910841434064,0.36578686229787394,0.24558387937841403,-0.4387943378064413
C3A2_008,0.10595344088718817,0.13440093712630732,0.09067897201227021,-0.03143883420589494,-0.09567890292525043,-0.0097677988818168,-0.047370794010218584,0.22589446091950321,0.8648346101602753,0.8142789075353466,0.5464263119638867,0.06897502728780441,0.2438413823587827,1.0,0.2567617256551956,0.7483185990975043,0.8263892157658814,0.7359937815031585,0.7429659403638441,0.05757974117400386
C3A2_009,0.12075173858143577,0.0810959234525108,0.12307341672129657,0.06805231752682955,-0.06636904884421098,0.08898918051023692,0.01266691239605108,0.3113236323469653,0.2659832749386588,0.22372026402154005,0.3132799307509306,0.40628020866200243,0.6722611512466459,0.2567617256551956,1.0,0.10954359648082328,0.293015876729693,0.24896165486623872,0.21321228173537465,-0.05725813242833094
C3A1_001,0.12713668006266335,0.18369447376734072,0.09471282199393083,0.03789786831889052,-0.14759659966694025,0.008125076285701187,-0.08694976007897391,0.018042853517999984,0.7808351712985868,0.6863113949168326,0.32135543924901877,-0.1879501538194315,-0.01739349990022727,0.7483185990975043,0.10954359648082328,1.0,0.7466982835260356,0.5958275896948034,0.6522693843717937,0.1773839304089699
C3A1_004,0.09946178446504746,0.162699912250824,0.0985889319815145,-0.04859078000298716,-0.06583424937985817,0.043334514741088674,-0.05475527831003405,0.3052071237078242,0.9055453584416956,0.7353028624563764,0.6343872463688397,0.0757758374171352,0.32348910841434064,0.8263892157658814,0.293015876729693,0.7466982835260356,1.0,0.7373751664245206,0.7338967401661403,0.008730473336374356
