strategy_id,test_period_start,test_period_end,observations,gross_cumulative_return,net_cumulative_return,annualized_net_return,net_sharpe,annualized_volatility,max_drawdown,average_daily_turnover,annualized_turnover,total_cost_drag,preliminary_oos_start,preliminary_oos_convention,preliminary_oos_net_return,preliminary_oos_sharpe,average_eligible_count,recommendation,research_status,live_allocation_approved,trade_cost_reconciliation_error,actual_universe_used,universe_source_mode,bias_labels,maximum_active_correlation,average_active_correlation,marginal_active_portfolio_sharpe,economic_rationale,primary_limitation,research_labels
RESIDUAL_MOMENTUM_ENSEMBLE,2018-01-02,2026-06-08,2119.0,0.20601526608137455,0.18318117770783715,0.020205237180178193,0.24467200524498448,0.10384024892622389,-0.26520785477887343,0.018040241966622333,4.546140975588828,0.01911363636363636,2023-11-22,Chronological 70/30 split; PRELIMINARY_OOS,0.25866218633550253,0.8821178097725617,45.69056603773585,REPAIR,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,3.469446951953614e-18,US_BROAD_LIQUID_POINT_IN_TIME_DIAGNOSTIC_FALLBACK,CURRENT_LISTED_DIAGNOSTIC,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT,0.620490904582212,0.3796034978271074,-0.017388522558251407,momentum ensemble,Current-listed diagnostic fallback; survivorship bias present.,
PRICE_VOLUME_REVERSAL_ENSEMBLE,2018-01-02,2026-06-08,2119.0,-0.030253125736275366,-0.09869051278363128,-0.012280955064913224,-0.07047702735083361,0.10184840487714188,-0.2895677693939174,0.06906845710526693,17.405251190527267,0.0731780303030303,2023-11-22,Chronological 70/30 split; PRELIMINARY_OOS,-0.2051207301403829,-0.8329226016989468,58.0561320754717,ARCHIVED,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,0.0,US_BROAD_LIQUID_POINT_IN_TIME_DIAGNOSTIC_FALLBACK,CURRENT_LISTED_DIAGNOSTIC,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT,0.3075462029363982,0.14568142148959698,0.010256046938174168,price-volume reversal ensemble,Current-listed diagnostic fallback; survivorship bias present.,
VOLATILITY_LIQUIDITY_DEFENSIVE_ENSEMBLE,2018-01-02,2026-06-08,2119.0,-0.6094217786784677,-0.621988766888157,-0.1092513745535485,-0.8736760124273303,0.1236409814897887,-0.675266789174907,0.030853604473236373,7.775108327255566,0.032689393939393935,2023-11-22,Chronological 70/30 split; PRELIMINARY_OOS,-0.38405731292535394,-1.4618190716646124,58.08443396226415,ARCHIVED,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,6.938893903907228e-18,US_BROAD_LIQUID_POINT_IN_TIME_DIAGNOSTIC_FALLBACK,CURRENT_LISTED_DIAGNOSTIC,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT,0.46169241196710087,0.2176016831388001,-0.19338499325324343,defensive volatility/liquidity ensemble,Current-listed diagnostic fallback; survivorship bias present.,
OVERNIGHT_INTRADAY_ENSEMBLE,2018-01-02,2026-06-08,2119.0,1.0750655000552065,0.9552471032107643,0.0830060212557786,0.8341967951327499,0.10180909380080985,-0.1977887288413429,0.05611566347762667,14.14114719636192,0.05945454545454545,2023-11-22,Chronological 70/30 split; PRELIMINARY_OOS,0.07356052470622121,0.33843377942837966,58.16933962264151,ACTIVE_CANDIDATE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,2.0816681711721685e-17,US_BROAD_LIQUID_POINT_IN_TIME_DIAGNOSTIC_FALLBACK,CURRENT_LISTED_DIAGNOSTIC,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT,0.335321488946271,0.1518501106393418,0.12309440712016051,overnight/intraday reversal ensemble,Current-listed diagnostic fallback; survivorship bias present.,
PROFITABLE_SMALL_CAP_GROWTH,2018-01-02,2026-06-08,2119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-22,Chronological 70/30 split; PRELIMINARY_OOS,0.0,0.0,16.57547169811321,DATA_INSUFFICIENT,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,0.0,US_SMALL_CAP_LIQUID_POINT_IN_TIME_DIAGNOSTIC_FALLBACK,CURRENT_LISTED_DIAGNOSTIC,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT,,,0.00918174444580322,profitable small-cap growth,Current-listed diagnostic fallback; survivorship bias present.,
FILING_SHOCK_CONTINUATION,2018-01-02,2026-06-08,2119.0,0.48346797787328,0.468856908933005,0.04678591984145575,0.6774196363276825,0.07124587575774265,-0.1725213944876648,0.00933974001458664,2.3536144836758335,0.009895454545454546,2023-11-22,Chronological 70/30 split; PRELIMINARY_OOS,0.38918176989009234,1.6318860239419055,55.60330188679245,ACTIVE_CANDIDATE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,1.734723475976807e-18,US_BROAD_LIQUID_POINT_IN_TIME_DIAGNOSTIC_FALLBACK,CURRENT_LISTED_DIAGNOSTIC,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT,0.7790096340455089,0.2560982007352528,0.05948342280605079,event-driven filing continuation,Current-listed diagnostic fallback; survivorship bias present.,EVENT_DRIVEN_DIAGNOSTIC
FUNDAMENTAL_SHOCK_RECOVERY,2018-01-02,2026-06-08,2119.0,0.3148936142514045,0.25442355340152667,0.027323872243631087,0.42686914118375496,0.06867757801126947,-0.12106394253424735,0.044412983063289814,11.192071731949033,0.04705555555555556,2023-11-22,Chronological 70/30 split; PRELIMINARY_OOS,0.11549448473837609,0.5822599789054902,43.70707547169811,ACTIVE_CANDIDATE,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT | RESEARCH_CANDIDATE,False,0.0,US_BROAD_LIQUID_POINT_IN_TIME_DIAGNOSTIC_FALLBACK,CURRENT_LISTED_DIAGNOSTIC,CURRENT_LISTED_DIAGNOSTIC | SURVIVORSHIP_BIAS_PRESENT,0.10217911339102985,0.06540200436909825,0.04752115826579284,matched-control fundamental shock recovery,Current-listed diagnostic fallback; survivorship bias present.,EVENT_DRIVEN_DIAGNOSTIC | CAUSAL_INSPIRED_NOT_CAUSAL_PROOF | MATCHED_CONTROL_DIAGNOSTIC
VALUE_QUALITY,,,,,,,,,,,,,,,,,,DATA_INSUFFICIENT,,,,NONE,DATA_UNAVAILABLE,POINT_IN_TIME_REQUIRED,,,,value and quality,SP500_POINT_IN_TIME DATA_UNAVAILABLE; current S&P list substitution prohibited.,
CAPEX_PRODUCTIVITY,,,,,,,,,,,,,,,,,,DATA_INSUFFICIENT,,,,NONE,DATA_UNAVAILABLE,POINT_IN_TIME_REQUIRED,,,,capex productivity,SP500_POINT_IN_TIME DATA_UNAVAILABLE; current S&P list substitution prohibited.,
SHAREHOLDER_YIELD_CAPITAL_ALLOCATION,,,,,,,,,,,,,,,,,,DATA_INSUFFICIENT,,,,NONE,DATA_UNAVAILABLE,POINT_IN_TIME_REQUIRED,,,,shareholder yield/capital allocation,SP500_POINT_IN_TIME DATA_UNAVAILABLE and payout/issuance coverage insufficient.,
