rebalance_date,member_count
2018-03-29,60
2018-04-27,60
2018-05-25,60
2018-06-25,60
2018-07-24,60
2018-08-21,60
2018-09-19,60
2018-10-17,60
2018-11-14,59
2018-12-14,59
2019-01-15,59
2019-02-13,59
2019-03-14,59
2019-04-11,59
2019-05-10,59
2019-06-10,59
2019-07-09,59
2019-08-06,59
2019-09-04,59
2019-10-02,59
2019-10-30,60
2019-11-27,60
2019-12-27,60
2020-01-28,60
2020-02-26,60
2020-03-25,60
2020-04-23,59
2020-05-21,60
2020-06-19,60
2020-07-20,60
2020-08-17,60
2020-09-15,60
2020-10-13,60
2020-11-10,60
2020-12-09,60
2021-01-08,60
2021-02-08,60
2021-03-09,60
2021-04-07,60
2021-05-05,60
2021-06-03,60
2021-07-01,60
2021-07-30,60
2021-08-27,60
2021-09-27,60
2021-10-25,60
2021-11-22,60
2021-12-21,60
2022-01-20,60
2022-02-17,60
2022-03-18,60
2022-04-18,60
2022-05-16,60
2022-06-14,60
2022-07-14,60
2022-08-11,60
2022-09-09,60
2022-10-07,60
2022-11-04,60
2022-12-05,60
2023-01-04,60
2023-02-02,60
2023-03-03,60
2023-03-31,60
2023-05-01,60
2023-05-30,60
2023-06-28,60
2023-07-27,60
2023-08-24,60
2023-09-22,60
2023-10-20,60
2023-11-17,60
2023-12-18,60
2024-01-18,60
2024-02-15,60
2024-03-15,60
2024-04-15,60
2024-05-13,60
2024-06-11,60
2024-07-11,60
2024-08-08,60
2024-09-06,60
2024-10-04,60
2024-11-01,60
2024-12-02,60
2024-12-31,60
2025-01-31,60
2025-03-03,60
2025-03-31,60
2025-04-29,60
2025-05-28,60
2025-06-26,60
2025-07-25,60
2025-08-22,60
2025-09-22,60
2025-10-20,60
2025-11-17,60
2025-12-16,60
2026-01-15,60
2026-02-13,60
2026-03-16,60
2026-04-14,60
2026-05-12,60
