rebalance_date,member_count
2018-03-29,17
2018-04-27,17
2018-05-25,17
2018-06-25,17
2018-07-24,17
2018-08-21,17
2018-09-19,17
2018-10-17,17
2018-11-14,17
2018-12-14,17
2019-01-15,17
2019-02-13,17
2019-03-14,17
2019-04-11,17
2019-05-10,17
2019-06-10,17
2019-07-09,17
2019-08-06,17
2019-09-04,17
2019-10-02,17
2019-10-30,18
2019-11-27,18
2019-12-27,18
2020-01-28,18
2020-02-26,18
2020-03-25,18
2020-04-23,17
2020-05-21,18
2020-06-19,18
2020-07-20,18
2020-08-17,18
2020-09-15,18
2020-10-13,18
2020-11-10,18
2020-12-09,18
2021-01-08,18
2021-02-08,18
2021-03-09,18
2021-04-07,18
2021-05-05,18
2021-06-03,18
2021-07-01,18
2021-07-30,18
2021-08-27,18
2021-09-27,18
2021-10-25,18
2021-11-22,18
2021-12-21,18
2022-01-20,18
2022-02-17,18
2022-03-18,18
2022-04-18,18
2022-05-16,18
2022-06-14,18
2022-07-14,18
2022-08-11,18
2022-09-09,18
2022-10-07,18
2022-11-04,18
2022-12-05,18
2023-01-04,18
2023-02-02,18
2023-03-03,18
2023-03-31,18
2023-05-01,18
2023-05-30,18
2023-06-28,18
2023-07-27,18
2023-08-24,18
2023-09-22,18
2023-10-20,18
2023-11-17,18
2023-12-18,18
2024-01-18,18
2024-02-15,18
2024-03-15,18
2024-04-15,18
2024-05-13,18
2024-06-11,18
2024-07-11,18
2024-08-08,18
2024-09-06,18
2024-10-04,18
2024-11-01,18
2024-12-02,18
2024-12-31,18
2025-01-31,18
2025-03-03,18
2025-03-31,18
2025-04-29,18
2025-05-28,18
2025-06-26,18
2025-07-25,18
2025-08-22,18
2025-09-22,18
2025-10-20,18
2025-11-17,18
2025-12-16,18
2026-01-15,18
2026-02-13,18
2026-03-16,18
2026-04-14,18
2026-05-12,18
