strategy_id,strategy,equity_beta,growth_style,momentum_style,value_style,commodity_beta,credit_spread,gold,inflation_beta,rates_duration,safe_haven,usd_fx,cash,defensive_style,quality_style,small_cap,event_driven,convertible,emerging_market,international_equity
PROTO_WQ_ALPHA_ETF,WorldQuant-Inspired ETF Alpha Basket,1.0499999999999998,0.2333333333333333,0.26666666666666666,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROTO_HF_REPLICATION,Liquid Alternative Factor Premia Clone,0.22500000000000003,0.0,0.0,0.0,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.1,0.10833333333333335,0.1,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROTO_BUSINESS_CYCLE,Business-Cycle Regime Allocation,0.57,0.0,0.0,0.0,0.1,0.2,0.0,0.06,0.065,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROTO_MARKOV_DEFENSIVE,High-Volatility Regime Defensive Switch,0.66,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.065,0.0,0.0,0.05,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0.0
PROTO_MANAGED_FUTURES,Managed Futures Trend Proxy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAND_EQUITY_MARKET_NEUTRAL,Equity Market-Neutral Style Spread,-0.08708333333333335,-0.06416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44999999999999996,0.11000000000000001,0.11000000000000001,-0.07333333333333335,0.0,0.0,0.0,0.0
CAND_CREDIT_CARRY_STRESS_GATE,Credit Carry With Stress Gate,0.0,0.0,0.0,0.0,0.0,0.1925,0.0,0.0,0.33499999999999996,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAND_RATES_DURATION_REGIME,Rates Duration Regime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAND_TREASURY_CURVE_RV,Treasury Curve Relative Value Proxy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAND_VOL_CARRY_CRASH_FILTER,Volatility Carry With Crash Filter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAND_TAIL_HEDGE_CRISIS,Tail Hedge Crisis Sleeve,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.03,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAND_MERGER_ARB_PROXY,Merger Arbitrage Proxy,0.05000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.7200000000000001,0.0,0.0,0.0
CAND_CONVERTIBLE_ARB_PROXY,Convertible Arbitrage Proxy,0.1,0.0,0.0,0.0,0.0,0.0875,0.0,0.0,0.22749999999999998,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.225,0.0,0.0
CAND_COMMODITY_INFLATION_SHOCK,Commodity Inflation Shock Sleeve,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAND_USD_MACRO_PRESSURE,USD Macro Pressure Sleeve,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.09,-0.12,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAND_EM_MACRO_RISK,Emerging Markets Macro Risk Sleeve,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.2,0.0,0.0,0.12,-0.06999999999999999,0.45,0.0,0.0,0.0,0.0,0.0,0.24499999999999997,0.0
CAND_RISK_PARITY_OVERLAY,Risk Parity ETF Overlay,0.011919081598089418,0.0,0.0,0.0,0.007039676555833328,0.0,0.005804497011198962,0.004223805933499997,0.021166073065164197,0.0034826982067193775,0.0,0.9575983506139081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAND_GLOBAL_VALUE_ROTATION,Global Value Rotation,0.9750000000000001,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
CAND_INDEX_ARBITRAGE_PROXY,Index Arbitrage Proxy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAND_EVENT_DRIVEN_SECTOR_PROXY,Event-Driven Sector Risk Proxy,-0.012500000000000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.315,0.0,0.0,0.0
