ticker,provider_symbol,normalization_status,renamed_symbol,entry_eligible,operational_pricing_required,pricing_status,security_status,latest_price_date,exclusion_reason,affects
AAPL,AAPL,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
ABBV,ABBV,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
ABG,ABG,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
ABT,ABT,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
ADBE,ADBE,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
ADEA,ADEA,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
ADSK,ADSK,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
ADT,ADT,unchanged,,False,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,SEED_OR_CURRENT_HOLDING_OUTSIDE_ENTRY_ELIGIBILITY,PRICING_AND_EXIT
AEIS,AEIS,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
AEP,AEP,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
AFL,AFL,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
AHRT,AHRT,unchanged,,True,True,PRICED,ACTIVE_CURRENT_PRICE_AVAILABLE,2026-06-12,,SIGNAL_AND_PRICING
