strategy_id,strategy_name,date,open_to_open_interval,sleeve_weight,beginning_sleeve_nav,ending_sleeve_nav,gross_return,net_return,daily_pnl,cumulative_pnl,cumulative_return,current_drawdown,turnover,transaction_cost,gross_exposure,net_exposure,long_count,short_count,latest_signal_date,last_rebalance_date,data_status,validation_status,live_allocation_approved,execution_enabled,record_label,run_id,signal_date,return_end_date
C3A1_002,Relative Strength 12-1,2026-06-04,2026-06-04_OPEN_TO_NEXT_OPEN,0.0625,62500.0,62489.75,-0.000164,-0.000164,-10.25,-10.25,-0.000164,-0.000164,0.0,0.0,0.2264150943396216,0.0,12,12,2026-06-04,2026-05-29,COMPLETE,PROVISIONAL,False,False,RETROSPECTIVE_PAPER_BACKFILL,7d885ae0fcac7679,,
C3A1_003,Relative Strength 6-1,2026-06-04,2026-06-04_OPEN_TO_NEXT_OPEN,0.0625,62500.0,62504.0,6.4e-05,6.4e-05,4.0,4.0,6.4000000000064e-05,0.0,0.0,0.0,0.2222222222222208,0.0,12,12,2026-06-04,2026-05-20,COMPLETE,PROVISIONAL,False,False,RETROSPECTIVE_PAPER_BACKFILL,7d885ae0fcac7679,,
C3A1_013,Low Amihud Illiquidity,2026-06-04,2026-06-04_OPEN_TO_NEXT_OPEN,0.0625,62500.0,62256.0,-0.003904,-0.003904,-244.0,-244.0,-0.003904,-0.003904,0.0,0.0,0.2222222222222208,0.0,12,12,2026-06-04,2026-05-18,COMPLETE,PROVISIONAL,False,False,RETROSPECTIVE_PAPER_BACKFILL,7d885ae0fcac7679,,
C3A2_008,Slow Momentum 9-1,2026-06-04,2026-06-04_OPEN_TO_NEXT_OPEN,0.0625,62500.0,62530.6875,0.000491,0.000491,30.6875,30.6875,0.000491,0.0,0.0,0.0,0.2222222222222208,0.0,12,12,2026-06-04,2026-05-26,COMPLETE,PROVISIONAL,False,False,RETROSPECTIVE_PAPER_BACKFILL,7d885ae0fcac7679,,
C3A1_001,Residual Momentum 12-1,2026-06-04,2026-06-04_OPEN_TO_NEXT_OPEN,0.0625,62500.0,62363.0,-0.002192,-0.002192,-137.0,-137.0,-0.0021919999999999,-0.0021919999999999,0.0,0.0,0.2307692307692304,0.0,12,12,2026-06-04,2026-05-18,COMPLETE,PROVISIONAL,False,False,RETROSPECTIVE_PAPER_BACKFILL,7d885ae0fcac7679,,
C3A1_015,Price Efficiency,2026-06-04,2026-06-04_OPEN_TO_NEXT_OPEN,0.0625,62500.0,62816.1875,0.005059,0.005059,316.1875,316.1875,0.0050589999999999,0.0,0.0,0.0,0.2222222222222208,0.0,12,12,2026-06-04,2026-05-21,COMPLETE,PROVISIONAL,False,False,RETROSPECTIVE_PAPER_BACKFILL,7d885ae0fcac7679,,
FUNDAMENTAL_MOMENTUM,Fundamental Momentum,2026-06-04,2026-06-04_OPEN_TO_NEXT_OPEN,0.0625,62500.0,62438.0,-0.000992,-0.000992,-62.0,-62.0,-0.0009919999999999,-0.0009919999999999,0.0,0.0,0.9999999999999988,0.0,11,11,2026-06-04,2026-05-12,COMPLETE,PROVISIONAL,False,False,RETROSPECTIVE_PAPER_BACKFILL,7d885ae0fcac7679,,
EARNINGS_QUALITY,Earnings Quality,2026-06-04,2026-06-04_OPEN_TO_NEXT_OPEN,0.0625,62500.0,62447.3125,-0.000843,-0.000843,-52.6875,-52.6875,-0.000843,-0.000843,0.0,0.0,0.9999999999999984,0.0,12,12,2026-06-04,2026-05-12,COMPLETE,PROVISIONAL,False,False,RETROSPECTIVE_PAPER_BACKFILL,7d885ae0fcac7679,,
MARGIN_IMPROVEMENT,Margin Improvement,2026-06-04,2026-06-04_OPEN_TO_NEXT_OPEN,0.0625,62500.0,62185.0625,-0.005039,-0.005039,-314.9375,-314.9375,-0.005039,-0.005039,0.0,0.0,0.9999999999999988,0.0,9,9,2026-06-04,2026-05-12,COMPLETE,PROVISIONAL,False,False,RETROSPECTIVE_PAPER_BACKFILL,7d885ae0fcac7679,,
OVERNIGHT_INTRADAY_ENSEMBLE,Overnight Intraday Ensemble,2026-06-04,2026-06-04_OPEN_TO_NEXT_OPEN,0.0625,62500.0,62529.1875,0.000467,0.000467,29.1875,29.1875,0.0004669999999999,0.0,0.0,0.0,0.9999999999999984,0.0,12,12,2026-06-04,2026-05-12,COMPLETE,PROVISIONAL,False,False,RETROSPECTIVE_PAPER_BACKFILL,7d885ae0fcac7679,,
